구분,Report No,S/No,Identification No,Joint No,JHC 행,Status 행,JHC Film,Status Film,차이/비고
값 불일치,SIT-K1-JHC-PIP-RT-0016,1,,,274,622,,,"{""thk"": {""jhc"": ""3.05"", ""status"": ""3.55""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0016,2,,,275,623,,,"{""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0016,3,P1RN-POW-7111011-02,3,276,624,,,"{""ident"": {""jhc"": ""P1RN-POW-7111011-02"", ""status"": ""P1RN-PW-9101024-04""}, ""joint"": {""jhc"": ""3"", ""status"": ""1-1SA""}, ""size"": {""jhc"": ""3"", ""status"": ""4""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0016,4,P1RN-POW-7111011-03,,277,625,,,"{""ident"": {""jhc"": ""P1RN-POW-7111011-03"", ""status"": ""P1RN-POW-7111011-02""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0016,5,,,278,626,,,"{""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0016,6,P1RN-PW-9101024-04,1-1SA,279,627,,,"{""ident"": {""jhc"": ""P1RN-PW-9101024-04"", ""status"": ""P1RN-POW-7111011-03""}, ""joint"": {""jhc"": ""1-1SA"", ""status"": ""3""}, ""size"": {""jhc"": ""4"", ""status"": ""3""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,1,P3RN-MPC-7521041-01,3,5,1632,,,"{""ident"": {""jhc"": ""P3RN-MPC-7521041-01"", ""status"": ""P0RN-FPW-8463070-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""6""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""6.02"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4077"", ""status"": ""4004""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,10,P1AN-CHWS-3151001-01,15,14,1641,,,"{""ident"": {""jhc"": ""P1AN-CHWS-3151001-01"", ""status"": ""P1AN-FPW-6034002-01""}, ""joint"": {""jhc"": ""15"", ""status"": ""6""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4010"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,11,PSWN-FPW-9102082-01,7,15,1642,,,"{""ident"": {""jhc"": ""PSWN-FPW-9102082-01"", ""status"": ""P1AN-FPW-6036002-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""6""}, ""size"": {""jhc"": ""4"", ""status"": ""2""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4077""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,12,P1AN-CHWS-3221001-01,4,16,1643,,,"{""ident"": {""jhc"": ""P1AN-CHWS-3221001-01"", ""status"": ""P1RN-MPC-7521011-04""}, ""joint"": {""jhc"": ""4"", ""status"": ""9""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""6.02""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4002"", ""status"": ""4007""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,13,P1AN-CHWR-3151001-02,7,17,1644,,,"{""ident"": {""jhc"": ""P1AN-CHWR-3151001-02"", ""status"": ""P2AN-CHWR-2342201-01""}, ""joint"": {""jhc"": ""7"", ""status"": ""4""}, ""size"": {""jhc"": ""2"", ""status"": ""3""}, ""thk"": {""jhc"": ""2.77"", ""status"": ""5.49""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4011"", ""status"": ""4009""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,14,P1AN-CHWR-3121001-01,9,18,1645,,,"{""ident"": {""jhc"": ""P1AN-CHWR-3121001-01"", ""status"": ""P2AN-CHWR-2442201-01""}, ""joint"": {""jhc"": ""9"", ""status"": ""5EC""}, ""size"": {""jhc"": ""4"", ""status"": ""3""}, ""thk"": {""jhc"": ""3.05"", ""status"": ""5.49""}, ""matl"": {""jhc"": """", ""status"": ""C/S""}, ""welder"": {""jhc"": ""4002"", ""status"": ""4007""}}"
값 불일치,SIT-K1-JHC-PIP-RT-0094,15,P2AN-CHWS-7311024-02,3,19,1646,,,"{""ident"": {""jhc"": ""P2AN-CHWS-7311024-02"", ""status"": ""P2AN-CHWR-3951001-01""}, ""joint"": {""jhc"": ""3"", ""status"": ""10""}, ""thk"": {""jhc"": ""3.91"", ""status"": ""2.77""}, ""matl"": {""jhc"": """", ""status"": ""S/S""}, ""welder"": {""jhc"": ""4078"", ""status"": ""4001""}}"
