,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,,6-1.,RT,,,,,,,,,,,,,,,,,,,,,,
1,,"*보정계수 ㉮ 월 생산성은 4.직접인건비TAB에서 산출, ㉯ 대상시설(플랜트, 수송배관) : 1, ㉰ 작업조건(일반작업) : 1, ㉳ 적용필름(단일필름) : 1 적용 ",,,,,,,,,,,,,,,,,,,,,,,
2,,ㅇ 인치별 용접개소 산출방법,,,,,,,,,,,,,,,,,,,,,,,
3,,"[주배관]
(주간) 주배관 주간 용접물량 90% 적용
(휴일) 주배관 주간 용접물량 10% 적용
(야간) 주배관 야간 용접물량 100% 적용",,,"[관리소]
(주간) 인치별 용접물량 × 80% 적용
(휴일) 인치별 용접물량 × 10% 적용
(야간) 인치별 용접물량 × 10% 적용",,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,  □ RT주간,,,,,,,,,,,,,,,,,,,,,,,
7,,구경,"방사선원
종류","방사선원
보정계수㉲",투과두께,"투과두께
보정계수㉱","보정계수
종합","대상
분야",용접개소(BW),,,,,,,"개소당
촬영매수","개소당
촬영매수
(숨김)","대상
분야
(숨김)","필름
규격
(숨김)",ORIGINAL,REPAIR(3%),TOTAL,산식적용값,"필름
규격",비고
8,,,,,,,,,가산~가평,,,,,,소계,,,,,,,,,,
9,,"34""~36""",Ir-192 또는 Se-75,1,15mm 이하,1,1,관리소,,,,,,,0,8,8,관리소,B,0,,0,0,B,
10,,,,,,,1,주배관,,,,,,,0,,8,주배관,B,0,,0,0,,
11,,,,,15mm초과~25mm이하,1.4,1.4,관리소,,,,,,,0,,8,관리소,B,0,,0,0,,
12,,,,,,,1.4,주배관,,,,,,,0,,8,주배관,B,0,,0,0,,
13,,,X-ray 발생장치,1.3,15mm 이하,1,1.3,관리소,,,,,,,0,,8,관리소,B,0,,0,0,,
14,,,,,,,1.3,주배관,,,,,,,0,,8,주배관,B,0,,0,0,,
15,,,,,15mm초과~25mm이하,1.4,1.8199999999999998,관리소,,,,,,,0,,8,관리소,B,0,,0,0,,
16,,,,,,,1.8199999999999998,주배관,,,,,,,0,,8,주배관,B,0,,0,0,,
