0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
산 출 명 세 서,,,,,,,,,,,,,,,,,,,
가산~가평 천연가스 공급시설 건설공사 비파괴검사 기술용역,,,,,,,,,,,,,,,,,,,
구      분,,품    목,규      격,단위 ,산출,,,비  고,,구      분,,품    목,규      격,단위 ,산출,,,비  고,
번호,비목,,,,수   량,단  가,금     액,,,번호,비목,,,,수   량,단  가,금     액,,
,,,,,,,,,,,,,,,,,,,
Ⅰ. 재료비,,,,,,,,,,,,,,,,,,,
     1. 방사선 투과검사 (RT),,,,,,,,,,,,,,,,,,,
,,필      름,"3⅓""ⅹ17""",매,20368,3379,68823472,,,,,,,,,,,,
,,필      름,"3⅓""ⅹ12""",매,2464,2540,6258560,,,,,,,,,,,,
,,필      름,"3⅓""ⅹ6""",매,1704,1515,2581560,,,,,,,,,,,,
,,동위원소,Ir-192,개,3.2731023999999995,2475000,8100928,,,,,,,,,,,,
,,동위원소,se-75,개,8.1852096,15450000,126461488,,,,,,,,,,,,
,,CD(필름),,개,24536,0.15,3680.4,,,,,,,,,,,,
,,CD(보고서),,개,3110.6499999999996,0.09,279.95849999999996,,,,,,,,,,,,
,,소     계,,,,,212229968.3585,,,,,,,,,,,,
,,적     용,,,,,212229000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
     2. 초음파 탐상검사 (UT),,,,,,,,,,,,,,,,,,,
,,엔진오일,,m,319.02,701.32,223735,,,,,,,,,,,,
,,소 창 직,,m,319.02,414.2857142857143,132165,,,,,,,,,,,,
,,소     계,,,,,355900,,,,,,,,,,,,
,,적     용,,,,,355000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
     3. 액체침투 탐상검사 (PT),,,,,,,,,,,,,,,,,,,
,,침투탐상제,,m,338.63,3142.222222222222,1064050,,,,,,,,,,,,
,,흡수지,,m,338.63,828.5714285714286,280579,,,,,,,,,,,,
,,소     계,,,,,1344629,,,,,,,,,,,,
,,적     용,,,,,1344000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,재료비 합계 ( 1 + 2 + 3 ),,,,,213928000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ⅱ.  노무비,,,,,,,,,,구      분,,품    목,규      격,단위 ,설계,,,비  고,
     1. 직접 노무비,,,,,,,,,,번호,비목,,,,수   량,단  가,금     액,,
,가. 방사선투과검사(RT)-플랜트,,(관리소),,,,,,,,가. 방사선투과검사(RT)-수송배관,,(주배관),,,,,,방사선 투과검사-종합
, 1) 일반검사,,,,,,,,,, 1) 일반검사,,,,,,,,(플랜트 + 수송배관)
,,기술관리,중급기술자,MD,21.742,363751,7908674,,,,,기술관리,중급기술자,MD,71.593,363751,26042025,,
,,방사선 안전관리,초급기술자,MD,0,297437,0,,,,,방사선 안전관리,초급기술자,MD,305.9,297437,90985978,,
,,촬영작업-1,중급숙련기술자,MD,205.789,350319,72091796,,,,,촬영작업-1,중급숙련기술자,MD,630.98,350319,221044282,,
,,촬영작업-2,초급숙련기술자,MD,205.789,226251,46559967,,,,,촬영작업-2,초급숙련기술자,MD,630.98,226251,142759855,,
,,현상 및 정리,중급숙련자,MD,43.485,350319,15233621,,,,,현상 및 정리,중급숙련자,MD,143.186,350319,50160776,,
,,필름 판독,중급기술자,MD,43.485,363751,15817712,,,,,필름 판독,중급기술자,MD,143.186,363751,52084050,,
,,보고서 작성,중급숙련기술자,MD,29.354,350319,10283263,,,,,보고서 작성,중급숙련기술자,MD,103.753,350319,36346647,,
,,현장검사 조건확인,중급숙련기술자,MD,18.722,350319,6558672,,,,,현장검사 조건확인,중급숙련기술자,MD,61.649,350319,21596816,,
,,소   계,,,,,174453705,,,,,소   계,,,,,641020429,,
,,적     용,,,,,174453000,,,,,적     용,,,,,641020000,,815473000
, 2) 휴일검사,,,,,,,,,, 2) 휴일검사,,,,,,,,
,,기술관리,중급기술자,MD,2.731,545626.5,1490105,,,,,기술관리,중급기술자,MD,7.938,545626.5,4331183,,
,,방사선 안전관리,초급기술자,MD,0,446155.5,0,,,,,방사선 안전관리,초급기술자,MD,33.6,446155.5,14990824,,
,,촬영작업-1,중급숙련기술자,MD,25.662,525478.5,13484829,,,,,촬영작업-1,중급숙련기술자,MD,69.953,525478.5,36758797,,
,,촬영작업-2,초급숙련기술자,MD,25.662,339376.5,8709079,,,,,촬영작업-2,초급숙련기술자,MD,69.953,339376.5,23740404,,
,,현상 및 정리,중급숙련자,MD,5.463,525478.5,2870689,,,,,현상 및 정리,중급숙련자,MD,15.876,525478.5,8342496,,
,,필름 판독,중급기술자,MD,5.463,545626.5,2980757,,,,,필름 판독,중급기술자,MD,15.876,545626.5,8662366,,
,,보고서 작성,중급숙련기술자,MD,0,350319,0,,,,,보고서 작성,중급숙련기술자,MD,0,350319,0,,
