--- 6-3. PT ---
R2: 	6-3.	PT																
R3: 	ㅇ 산출방법 (주배관) UT물량과 동일 (관리소) 필렛용접물량에 대하여 '주간:휴일:야간'비율을 '8:1:1'로 적용																	
R4: 	 □ PT주간																	
R5: 	구경	구경 구분	구경 보정계수	대상 분야	예상용접개소(BW)							구경당  검사길이	구경당  검사길이 (숨김)	대상 분야 (숨김)	실검사길이(M)	보정계수 종합	검사보정 길이(M)	비고
R6: 					가산~가평						소계							
R7: 	30	150mm초과	1.2	관리소							0	2.392	2.392	관리소	0	1.2	0	
R8: 				주배관	4						4		2.392	주배관	9.57	1.2	11.48	
R9: 	24	150mm초과	1.2	관리소							0	1.914	1.914	관리소	0	1.2	0	
R10: 				주배관							0		1.914	주배관	0	1.2	0	
R11: 	20	150mm초과	1.2	관리소							0	1.595	1.595	관리소	0	1.2	0	
R12: 				주배관	143						143		1.595	주배관	228.09	1.2	273.71	
R13: 	16	150mm초과	1.2	관리소							0	1.276	1.276	관리소	0	1.2	0	
R14: 				주배관							0		1.276	주배관	0	1.2	0	
R15: 	14	150mm초과	1.2	관리소							0	1.116	1.116	관리소	0	1.2	0	
R16: 				주배관							0		1.116	주배관	0	1.2	0	
R17: 	12	150mm초과	1.2	관리소							0	0.957	0.957	관리소	0	1.2	0	
R18: 				주배관							0		0.957	주배관	0	1.2	0	
R19: 	10	150mm초과	1.2	관리소							0	0.797	0.797	관리소	0	1.2	0	
R20: 				주배관							0		0.797	주배관	0	1.2	0	
R21: 	8	150mm초과	1.2	관리소							0	0.638	0.638	관리소	0	1.2	0	
R22: 				주배관							0		0.638	주배관	0	1.2	0	
R23: 	8	150mm초과	1.2	관리소							0	0.638	0.638	관리소	0	1.2	0	
R24: 				주배관							0		0.638	주배관	0	1.2	0	
R25: 	6	150mm초과	1.2	관리소							0	0.478	0.478	관리소	0	1.2	0	
R26: 				주배관							0		0.478	주배관	0	1.2	0	
R27: 	4	150mm이하	1.4	관리소							0	0.319	0.319	관리소	0	1.4	0	
R28: 				주배관							0		0.319	주배관	0	1.4	0	
R29: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4	0	
R30: 				주배관							0		0.239	주배관	0	1.4	0	
R31: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4	0	
R32: 				주배관							0		0.239	주배관	0	1.4	0	
R33: 	2	150mm이하	1.4	관리소							0	0.159	0.159	관리소	0	1.4	0	
R34: 				주배관							0		0.159	주배관	0	1.4	0	
R35: 	1.5	150mm이하	1.4	관리소							0	0.119	0.119	관리소	0	1.4	0	
R36: 				주배관							0		0.119	주배관	0	1.4	0	
R37: 	1	150mm이하	1.4	관리소							0	0.079	0.079	관리소	0	1.4	0	
R38: 				주배관							0		0.079	주배관	0	1.4	0	
R39: 	0.75	150mm이하	1.4	관리소							0	0.059	0.059	관리소	0	1.4	0	
R40: 				주배관							0		0.059	주배관	0	1.4	0	
R41: 	0.5	150mm이하	1.4	관리소							0	0.039	0.039	관리소	0	1.4	0	
R42: 				주배관							0		0.039	주배관	0	1.4	0	
R43: 	6	150mm초과	1.2	관리소							0	0.478	0.478	관리소	0	1.2	0	
R44: 				주배관							0		0.478	주배관	0	1.2	0	
R45: 	4	150mm이하	1.4	관리소	14						14	0.319	0.319	관리소	4.47	1.4	6.257999999999999	
R46: 				주배관							0		0.319	주배관	0	1.4		
R47: 	3	150mm이하	1.4	관리소							0	0.239	0.239	관리소	0	1.4		
R48: 				주배관							0		0.239	주배관	0	1.4		
