0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공사실행예산서(사전원가계산),,,,,,,소장,담당,상무,본부장,사장,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현 장 명 : 롯데바이오로직스 Project PROVIDENCE 중 비파괴검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공사기간 : 2025. 02. 20 ~ 2026. 07. 31 ,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,
계약업체 : 롯데건설 주식회사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경인사무소 : 박홍규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 수입(매출),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계약 금액,,산출근거,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377600000,,계약금액/부가세별도,,,,,,,,,,,,,,,,,,,,,평균,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. 매출원가,,,,,,,,,,,,,,,,,,,,,,2019.07.01~,자격수당,가족수당,근속수당,지원수당,퇴직금,연차수당, 기준급여/년,기준급여/일
    1)인건비,,,,,,,,,,,,,,고정금액(변경不),,,,,,,,,,,,,,,,
구분,,직급,투입인원,,투입일수/인,,단가/일,,사전원가금액,,,,직급, 기준급여,,,,,,,,,,,,,,,,
"정시근무
(240일/년)",,이사,0,,0,,230208.33333333334,,0,,,,,,,,,,,,,,,,,,,,,
,,부장,2,,80,,230208.33333333334,,36833333.333333336,,,,부장,55250000,,,,,,,부장,53736926.465556,,,,,4477898.082374781,4298954.11724448,62513778.66517527,260474.0777715636
,,차장,2,,60,,198625,,23835000,,,,차장,47670000,,,,,,,차장,46463968.20339,,,,,3871842.470388489,3717117.4562712004,54052928.13004969,225220.53387520704
,,과장,2,,100,,171541.66666666666,,34308333.33333333,,,,과장,41170000,,,,,,,과장,42356572.883871004,,,,,3529573.2184129707,3388525.8307096804,49274671.93299366,205311.13305414023
,,대리,2,,80,,158000,,25280000,,,,대리,37920000,,,,,,,대리,37672832.491689,,,,,3139277.131532444,3013826.5993351196,43825936.22255656,182608.06759398567
,,계장,2,,80,,144458.33333333334,,23113333.333333336,,,,계장,34670000,,,,,,,3을주임,34263930.207249,,,,,2855213.304170059,2741114.4165799203,39860257.927998975,166084.40803332906
,,주임,3,,100,,130916.66666666667,,39275000,,,,주임,31420000,,,,,,,4갑주임,31287603.873042,,,,,2607196.03074059,2503008.30984336,36397808.21362595,151657.53422344147
,,기사,0,,0,,121875,,0,,,,기사,29250000,,,,,,,4을기사,28397717.762238,,,,,2366381.8211272927,2271817.42097904,33035917.004344333,137649.65418476806
,,소계,13,,500,,,,182645000,,,,,,,,,,,,,,,,,,,,,
구분,,형태,투입인원,,투입시간/인,,단가,,사전원가금액,,,,,,,,,,,,,,,,,,,,,
특별근무,,연장근무,13,,50,,4000,,2600000,,,,,,,,,,,,,,,,,,,,,
,,야간근무,13,,45,,5000,,2925000,,,,,,,,,,,,,,,,,,,,,
,,휴일근무,13,,40,,7500,,3900000,,,,,,,,,,,,,,,,,,,,,
,,소계,13,,135,,,,9425000,,,,,,,,,,,,,,,,,,,,,
인건비 합계,,,,,,,,,192070000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   2) 재료비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품목,,사양,,,수량,규격,단가,,사전원가금액,,,,,,,,,,,,,,,,,,,,,
PT 약품,,세척액,,,24,CAN,1500,,36000,,,지에스켐,30M,,,,,,,,,,,,,,,,,
PT 약품,,침투액,,,6,CAN,2300,,13800,,,지에스켐,,,,,,,,,,,,,,,,,,
PT 약품,,현상액,,,24,CAN,2000,,48000,,,지에스켐,,,,,,,,,,,,,,,,,,
MT 약품,,자분페인트,,,12,CAN,2350,,28200,,,지에스켐,32M,,,,,,,,,,,,,,,,,
MT 약품,,흑색자분,,,10,CAN,1800,,18000,,,지에스켐,,,,,,,,,,,,,,,,,,
방사선투과검사 필름,,MX125,,,0,매,990,,0,,,한스,"3⅓×12""","3⅓×6""",총 매수,,,,,,,,,,,,,,,
글리세린,,20ℓ,,,2,통,100000,,200000,,,,1850,313,2163,,,,,,,,,,,,,,,
필름 현상액,,3ℓ,,,4,통,16500,,66000,,,경도,500매 기준,1회 4통,5회 교환,,,,,,,,,,,,,,,
필름 정착액,,3ℓ,,,4,통,16500,,66000,,,경도,500매 기준,1회 4통,5회 교환,,,,,,,,,,,,,,,
수적방지액,,200㎖,,,4,통,2500,,10000,,,나우,500매 기준,1회 2통,5회 교환,,,,,,,,,,,,,,,
재료비 합계,,,,,,,,,486000,,,,,,,,,,,,,,,,,,,,,
,,,,,,부가세,,,48600,,,,,,,,,,,,,,,,,,,,,
   3) 경비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        (1) 현장 경비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,내용,,인원수,수량,규격,단가,,사전원가금액,,,,,,,,,,,,,,,,,,,,,
차량유지비,,"주유, 수리, 통행, 주차 등",,,12,개월,150000,,1800000,,,,,,,,,,,,,,,,,,,,,
소모품비,,"장갑,일회용 작업복외",,,12,개월,15000,,180000,,,,,,,,,,,,,,,,,,,,,
복리후생비,,"생수, 음료 외 기타 ",,,12,개월,50000,,600000,,,,,,,,,,,,,,,,,,,,,
Se-175,,방사성동위원소 구매,,,1,EA,10000000,,10000000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현장 경비 소계,,,,,,,,,12580000,,,,,,,,,,,,,,,,,,,,,
,,,,,,"부가세(일비,마일리지 제외)",,,1078000,,,,,,,,,,,,,,,,,,,,,
        (2) 장비/차량 임차료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,사양,,수량,사용기간,기간단위,단가/월.대,,사전원가금액,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장비/차량 임차료 소계,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,부가세,,,0,,,,,,,,,,,,,,,,,,,,,
        (3) 외주비/잡급,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,작업내용,,,,공수,단가,,사전원가금액,,,,,,,,,,,,,,,,,,,,,
케이엔디이,,방사선투과검사,,,,2084매,15000,,31260000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
외주비-잡급 소계,,,,,,,,,31260000,,,,,,,,,,,,,,,,,,,,,
,,,,,,부가세,,,0,,,,,,,,,,,,,,,,,,,,,
        (4) 4대 보험료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,산출 기준,,,산출 인건비,,단가(요율),,사전원가금액,,,,,,,,,,,,,,,,,,,,,
4대 보험료,,산출인건비 X 요율(2024.7.1 기준),,,192070000,,0.1066608,,20486339.856,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       (5) 감가상각비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장비명,,사양,,내용년수,수량,사용일수,감가비/일,,사전원가금액,,,,,,,,,,,,,,,,,,,,,
PAUT 장비,,,,5,1,100,44444.444444444445,,4444444.444444445,,,,,,,,,,,,,,,,,,,,,
PAUT SCANNER (MANUAL),,,,5,1,100,5555.555555555556,,555555.5555555556,,,,,,,,,,,,,,,,,,,,,
PAUT SCANNER (COBRA),,,,5,1,100,16666.666666666668,,1666666.6666666667,,,,,,,,,,,,,,,,,,,,,
YOKE,,,,5,1,50,222.22222222222223,,11111.111111111111,,,,,,,,,,,,,,,,,,,,,
현상용 탑차(5년간 보험비 포함),,,,5,0,0,16666.666666666668,,0,,,,,,,,,,,,,,,,,,,,,
스타렉스(5년간 보험비 포함),,,,5,1,100,16666.666666666668,,1666666.6666666667,,,,,,,,,,,,,,,,,,,,,
장비/차량 임차료 소계,,,,,,,,,8344444.444444446,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경비 합계 : (1)~(5) 합계,,,,,,,,,72670784.30044444,,,,,,,,,,,,,,,,,,,,,
,,,,,,경비 부가세 합계,,,1078000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
