순번,"촬영
일자",공정,Line No.,Joint,"용접사
번호",관경,합부,PAUT길이,selected,Date,Joint No.,Size,Th'k(mm),Acc,Rej,Start,End,Length(mm),Upper,Lower,Height(mm),Type of Flaw,a/l,a/t,Welder,Tested Length,Evaluation,Remarks,No,date_filtered
39.0,2026-03-30,PAUT,DT2024-016-101-0-3-850A,R1,W-2021-A-98,850,합격,2.7131,True,2026-03-30,R01,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
50.0,2026-04-07,PAUT,DT2024-016-018-0-1-300A,R1,W-2021-A-98,300A,합격,1.0006,True,2026-04-07,R01,300A,6.4,√,,,,,,,,,,,W-2021-A-98,1.0006,합격,,,True
44.0,2026-05-11,PAUT,DT2024-016-101-0-4-850A,R1,W-2021-A-98,850,합격,2.7131,True,2026-05-11,R01,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
40.0,2026-03-30,PAUT,DT2024-016-101-0-3-850A,R2,W-2021-A-98,850,합격,2.7131,True,2026-03-30,R02,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
51.0,2026-04-07,PAUT,DT2024-016-018-0-1-300A,R2,W-2021-A-98,300A,합격,1.0006,True,2026-04-07,R02,300A,6.4,√,,,,,,,,,,,W-2021-A-98,1.0006,합격,,,True
45.0,2026-05-11,PAUT,DT2024-016-101-0-4-850A,R2,W-2021-A-98,850,합격,2.7131,True,2026-05-11,R02,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
41.0,2026-03-30,PAUT,DT2024-016-101-0-3-850A,R3,W-2021-A-98,850,합격,2.7131,True,2026-03-30,R03,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
52.0,2026-04-07,PAUT,DT2024-016-018-0-1-300A,R3,W-2021-A-98,300A,합격,1.0006,True,2026-04-07,R03,300A,6.4,√,,,,,,,,,,,W-2021-A-98,1.0006,합격,,,True
46.0,2026-05-11,PAUT,DT2024-016-101-0-4-850A,R3,W-2021-A-98,850,합격,2.7131,True,2026-05-11,R03,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
42.0,2026-03-30,PAUT,DT2024-016-101-0-3-850A,R3-1,W-2021-A-98,850,합격,2.7131,True,2026-03-30,R03-1,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
5.0,2026-03-13,PAUT,DT2024-016-101-0-3-850A,R4,W-2021-A-98,850,합격,2.7131,True,2026-03-13,R04,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
53.0,2026-04-07,PAUT,DT2024-016-018-0-1-300A,R4,W-2021-A-98,300A,합격,1.0006,True,2026-04-07,R04,300A,6.4,√,,,,,,,,,,,W-2021-A-98,1.0006,합격,,,True
47.0,2026-05-11,PAUT,DT2024-016-101-0-4-850A,R4,W-2021-A-98,850,합격,2.7131,True,2026-05-11,R04,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
6.0,2026-03-13,PAUT,DT2024-016-101-0-3-850A,R5,W-2021-A-98,850,합격,2.7131,True,2026-03-13,R05,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
54.0,2026-04-07,PAUT,DT2024-016-018-0-1-300A,R5,W-2021-A-98,300A,합격,1.0006,True,2026-04-07,R05,300A,6.4,√,,,,,,,,,,,W-2021-A-98,1.0006,합격,,,True
59.0,2026-04-21,PAUT,DT2024-016-101-0-4-850A,R5,W-2021-A-98,850,합격,2.7131,True,2026-04-21,R05,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
7.0,2026-03-13,PAUT,DT2024-016-101-0-3-850A,R6,W-2021-A-98,850,합격,2.7131,True,2026-03-13,R06,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
60.0,2026-04-21,PAUT,DT2024-016-101-0-4-850A,R6,W-2021-A-98,850,합격,2.7131,True,2026-04-21,R06,850A,10.3,√,,,,,,,,,,,W-2021-A-98,2.7131,합격,,,True
